departamento,municipio,nombreinstitucion,sedeinstitucional,codigodane,direccioninstitucion,educacionmediapoblacionfemenina,educacionmediapoblacionmasculina,educacionpreescolarpoblacionfemenina,educacionpreescolarpoblacionmasculina,educacionprimariapoblacionfemenina,educacionprimariapoblacionmasculina,educacionsecundariapoblacionfemenina,educacionsecundariapoblacionmasculina,totalestudiantes
Casanare,Hato corozal,Institución educativa antonio martinez delgado,Antonio martinez delgado,185125000959,Carrera 12 N° 10 - 75,45,35,32,19,141,161,186,177,796
Casanare,Nunchia,Institución educativa salvador camacho roldan,Salvador camacho roldan,185225000379,Carrera 2 N° 4 - 73,45,47,15,22,103,111,129,139,611
Casanare,Mani,Institución educativa luis enrique baron leal,Gaviotas,285139000069,Inspección de policia gaviotas,2,3,1,2,25,27,35,25,120
Casanare,San luis de palenque,Institución educativa la presentación,La presentación,185325000597,Calle 7 N° 3 - 17,74,54,21,30,176,197,248,198,998
Casanare,Trinidad,Institución educativa pozo petrolero,Pozo petrolero,285430000378,Vereda el pozo,23,20,5,6,38,51,52,72,267
Casanare,Aguazul,Institución educativa cupiagua,Plan cunama las brisas,485010000746,Vereda plan cunama las brisas,7,5,3,2,18,16,14,19,84
Casanare,Orocue,Institución educativa la inmaculada,La inmaculada,185230000085,DG 5 N° 4 - 35,36,36,18,29,169,174,124,124,710
Casanare,Tauramena,Institución educativa siglo xxi,Siglo xxi,285410000045,Vereda el raizal,24,30,11,18,71,68,72,70,364
Casanare,Pore,Institución educativa el banco,El banco,285263000034,Vereda el banco,13,10,3,6,25,29,52,42,180
Casanare,Hato corozal,Institución educativa luis hernandez vargas,Institución educativa luis hernandez vargas sede principal,185125000029,Calle 9 N° 10 - 83,50,39,14,20,135,126,135,125,644
Casanare,Villanueba,Institución educativa fabio riveros,Fabio riveros,185440000053,Carrera 11 N° 14 - 115,162,137,66,63,335,371,414,333,1.881
